,Vietnamese,Positive,Negative,"Anger
/ tức giận","Anticipation
/ Hi vọng","Disgust
/ chán ghét","Fear
/ sợ hãi","Joy
/ thích thú","Sadness
/ buồn bã","Surprise
/ ngạc nhiên","Trust
/ tin tưởng",
unlock,mở khóa,0,0,0,0,0,0,0,0,0,0,0
,mò mẫm,0,0,0,0,0,0,0,0,0,0,0
,mờ nhạt,0,0,0,0,0,0,0,0,0,0,0
,mô phạm,0,0,0,0,0,0,0,0,0,0,0
,mở toang,0,0,0,0,0,0,0,0,0,0,0
,mở toang hoang,0,0,0,0,0,0,0,0,0,0,0
,mọc cánh,0,0,0,0,0,0,0,0,0,0,0
,mọc đối,0,0,0,0,0,0,0,0,0,0,0
,mọc đối nhau,0,0,0,0,0,0,0,0,0,0,0
,mọc so le,0,0,0,0,0,0,0,0,0,0,0
,mọc thành cặp,0,0,0,0,0,0,0,0,0,0,0
,mọc theo cặp,0,0,0,0,0,0,0,0,0,0,0
,mọc xen kẽ,0,0,0,0,0,0,0,0,0,0,0
,mod,0,0,0,0,0,0,0,0,0,0,0
,mọi,0,0,0,0,0,0,0,0,0,0,0
incipient,mới bắt đầu,0,0,0,0,0,0,0,0,0,0,0
,mỗi đêm,0,0,0,0,0,0,0,0,0,0,0
,mọi mặt,0,0,0,0,0,0,0,0,0,0,0
,mỗi ngày,0,0,0,0,0,0,0,0,0,0,0
,mới nguyên,0,0,0,0,0,0,0,0,0,0,0
,mới toanh,0,0,0,0,0,0,0,0,0,0,0
,mỏng,0,0,0,0,0,0,0,0,0,0,0
,mọng,0,0,0,0,0,0,0,0,0,0,0
abutment,móng cầu,0,0,0,0,0,0,0,0,0,0,0
,mong manh,0,0,0,0,0,0,0,0,0,0,0
,mỏng manh,0,0,0,0,0,0,0,0,0,0,0
,mỏng mảnh,0,0,0,0,0,0,0,0,0,0,0
,mong manh dễ vỡ,0,0,0,0,0,0,0,0,0,0,0
,mọng nước,0,0,0,0,0,0,0,0,0,0,0
,mỏng rớt,0,0,0,0,0,0,0,0,0,0,0
,mốt,0,0,0,0,0,0,0,0,0,0,0
,một,0,0,0,0,0,0,0,0,0,0,0
,một chiều,0,0,0,0,0,0,0,0,0,0,0
bit,một chút,0,0,0,0,0,0,0,0,0,0,0
,một chút mềm,0,0,0,0,0,0,0,0,0,0,0
,một cực,0,0,0,0,0,0,0,0,0,0,0
,một làn,0,0,0,0,0,0,0,0,0,0,0
,một mạch,0,0,0,0,0,0,0,0,0,0,0
apiece,một mảnh,0,0,0,0,0,0,0,0,0,0,0
,một mất một còn,0,0,0,0,0,0,0,0,0,0,0
,một năm,0,0,0,0,0,0,0,0,0,0,0
,một người vì mọi người,0,0,0,0,0,0,0,0,0,0,0
half,một nửa,0,0,0,0,0,0,0,0,0,0,0
,một tá,0,0,0,0,0,0,0,0,0,0,0
,một tai,0,0,0,0,0,0,0,0,0,0,0
,một trăm,0,0,0,0,0,0,0,0,0,0,0
,một triệu,0,0,0,0,0,0,0,0,0,0,0
yearling,một tuổi,0,0,0,0,0,0,0,0,0,0,0
,một vạn,0,0,0,0,0,0,0,0,0,0,0
,mù,0,0,0,0,0,0,0,0,0,0,0
,mủ,0,0,0,0,0,0,0,0,0,0,0
,mù sương,0,0,0,0,0,0,0,0,0,0,0
cowl,mũ trùm đầu,0,0,0,0,0,0,0,0,0,0,0
,mùa đông,0,0,0,0,0,0,0,0,0,0,0
acquisition,mua lại,0,0,0,0,0,0,0,0,0,0,0
,mùa thu,0,0,0,0,0,0,0,0,0,0,0
,mục,0,0,0,0,0,0,0,0,0,0,0
arrow,mũi tên,0,0,0,0,0,0,0,0,0,0,0
,mùn,0,0,0,0,0,0,0,0,0,0,0
,muối,0,0,0,0,0,0,0,0,0,0,0
,mười,0,0,0,0,0,0,0,0,0,0,0
,mười hai,0,0,0,0,0,0,0,0,0,0,0
,mười lần,0,0,0,0,0,0,0,0,0,0,0
,mười ngàn,0,0,0,0,0,0,0,0,0,0,0
,mười nghìn,0,0,0,0,0,0,0,0,0,0,0
,muối tiêu,0,0,0,0,0,0,0,0,0,0,0
borrow,mượn,0,0,0,0,0,0,0,0,0,0,0
trench,mương,0,0,0,0,0,0,0,0,0,0,0
,mượt,0,0,0,0,0,0,0,0,0,0,0
,mượt mà,0,0,0,0,0,0,0,0,0,0,0
artifice,mưu kế,0,0,0,0,0,0,0,0,0,0,0
cosmetic,mỹ phẩm,0,0,0,0,0,0,0,0,0,0,0
,na ná,0,0,0,0,0,0,0,0,0,0,0
,nam,0,0,0,0,0,0,0,0,0,0,0
,năm,0,0,0,0,0,0,0,0,0,0,0
,năm áp chót,0,0,0,0,0,0,0,0,0,0,0
,nằm bên trái,0,0,0,0,0,0,0,0,0,0,0
,nam cao,0,0,0,0,0,0,0,0,0,0,0
,năm cuối,0,0,0,0,0,0,0,0,0,0,0
,nằm dưới bề mặt,0,0,0,0,0,0,0,0,0,0,0
,nam giới,0,0,0,0,0,0,0,0,0,0,0
,năm một,0,0,0,0,0,0,0,0,0,0,0
,nằm ngang,0,0,0,0,0,0,0,0,0,0,0
,nằm phía trái,0,0,0,0,0,0,0,0,0,0,0
,năm thứ ba,0,0,0,0,0,0,0,0,0,0,0
,nam trung,0,0,0,0,0,0,0,0,0,0,0
baron,nam tước,0,0,0,0,0,0,0,0,0,0,0
,nặng,0,0,0,0,0,0,0,0,0,0,0
,nặng kí,0,0,0,0,0,0,0,0,0,0,0
,nặng ký,0,0,0,0,0,0,0,0,0,0,0
,năng nổ,0,0,0,0,0,0,0,0,0,0,0
,năng suất,0,0,0,0,0,0,0,0,0,0,0
,nào đó,0,0,0,0,0,0,0,0,0,0,0
,não nuột,0,0,0,0,0,0,0,0,0,0,0
brown,nâu,0,0,0,0,0,0,0,0,0,0,0
,nâu đỏ,0,0,0,0,0,0,0,0,0,0,0
cooking,nấu nướng,0,0,0,0,0,0,0,0,0,0,0
dusky,nâu sẫm,0,0,0,0,0,0,0,0,0,0,0
,nay,0,0,0,0,0,0,0,0,0,0,0
,này,0,0,0,0,0,0,0,0,0,0,0
,nảy,0,0,0,0,0,0,0,0,0,0,0
,nẩy,0,0,0,0,0,0,0,0,0,0,0
,nền,0,0,0,0,0,0,0,0,0,0,0
,nén lại,0,0,0,0,0,0,0,0,0,0,0
,nên tránh,0,0,0,0,0,0,0,0,0,0,0
,net,0,0,0,0,0,0,0,0,0,0,0
,ngà,0,0,0,0,0,0,0,0,0,0,0
,ngà ngà,0,0,0,0,0,0,0,0,0,0,0
,ngả nghiêng,0,0,0,0,0,0,0,0,0,0,0
,ngả về,0,0,0,0,0,0,0,0,0,0,0
,ngầm,0,0,0,0,0,0,0,0,0,0,0
,ngậm lại,0,0,0,0,0,0,0,0,0,0,0
,ngâm trong nước,0,0,0,0,0,0,0,0,0,0,0
,ngăn,0,0,0,0,0,0,0,0,0,0,0
,ngẩn,0,0,0,0,0,0,0,0,0,0,0
,ngăn cản,0,0,0,0,0,0,0,0,0,0,0
avert,ngăn chặn,0,0,0,0,0,0,0,0,0,0,0
,ngắn gọn,0,0,0,0,0,0,0,0,0,0,0
,ngăn ngắn,0,0,0,0,0,0,0,0,0,0,0
,ngần ngừ,0,0,0,0,0,0,0,0,0,0,0
,ngang,0,0,0,0,0,0,0,0,0,0,0
,ngang nhau,0,0,0,0,0,0,0,0,0,0,0
,ngập,0,0,0,0,0,0,0,0,0,0,0
,ngập nước,0,0,0,0,0,0,0,0,0,0,0
,ngập tràn,0,0,0,0,0,0,0,0,0,0,0
,ngắt âm,0,0,0,0,0,0,0,0,0,0,0
,ngất ngây,0,0,0,0,0,0,0,0,0,0,0
,ngắt quãng,0,0,0,0,0,0,0,0,0,0,0
haphazard,ngẩu nhiên,0,0,0,0,0,0,0,0,0,0,0
,ngay,0,0,0,0,0,0,0,0,0,0,0
,ngay cạnh,0,0,0,0,0,0,0,0,0,0,0
,ngay dưới,0,0,0,0,0,0,0,0,0,0,0
,ngay lập tức,0,0,0,0,0,0,0,0,0,0,0
,ngày nay,0,0,0,0,0,0,0,0,0,0,0
,ngày này,0,0,0,0,0,0,0,0,0,0,0
apocalyptic,ngày tận thế,0,0,0,0,0,0,0,0,0,0,0
,ngay thức thời,0,0,0,0,0,0,0,0,0,0,0
,ngay trước mắt,0,0,0,0,0,0,0,0,0,0,0
,ngay tức khắc,0,0,0,0,0,0,0,0,0,0,0
,ngay tức thì,0,0,0,0,0,0,0,0,0,0,0
,ngay tức thời,0,0,0,0,0,0,0,0,0,0,0
,ngày xưa,0,0,0,0,0,0,0,0,0,0,0
turmeric,nghệ,0,0,0,0,0,0,0,0,0,0,0
audible,nghe rõ,0,0,0,0,0,0,0,0,0,0,0
,nghe thấy,0,0,0,0,0,0,0,0,0,0,0
,nghi,0,0,0,0,0,0,0,0,0,0,0
ceremonial,nghi thức,0,0,0,0,0,0,0,0,0,0,0
,nghi vấn,0,0,0,0,0,0,0,0,0,0,0
,nghĩa hiệp,0,0,0,0,0,0,0,0,0,0,0
,nghĩa khí,0,0,0,0,0,0,0,0,0,0,0
,nghịch,0,0,0,0,0,0,0,0,0,0,0
,nghịch đảo,0,0,0,0,0,0,0,0,0,0,0
,nghich hành,0,0,0,0,0,0,0,0,0,0,0
,nghịch lại,0,0,0,0,0,0,0,0,0,0,0
,nghiêng,0,0,0,0,0,0,0,0,0,0,0
,nghiệp dư,0,0,0,0,0,0,0,0,0,0,0
trillion,nghìn tỷ,0,0,0,0,0,0,0,0,0,0,0
,ngỏ,0,0,0,0,0,0,0,0,0,0,0
,ngoài,0,0,0,0,0,0,0,0,0,0,0
,ngoại,0,0,0,0,0,0,0,0,0,0,0
,ngoại bang,0,0,0,0,0,0,0,0,0,0,0
,ngoại biên,0,0,0,0,0,0,0,0,0,0,0
,ngoại cỡ,0,0,0,0,0,0,0,0,0,0,0
,ngoại đạo,0,0,0,0,0,0,0,0,0,0,0
,ngoại khổ,0,0,0,0,0,0,0,0,0,0,0
,ngoại lai,0,0,0,0,0,0,0,0,0,0,0
,ngoài lề,0,0,0,0,0,0,0,0,0,0,0
,ngoài ôn đới,0,0,0,0,0,0,0,0,0,0,0
,ngoại ôn đới,0,0,0,0,0,0,0,0,0,0,0
,ngoài rìa,0,0,0,0,0,0,0,0,0,0,0
,ngoại sinh,0,0,0,0,0,0,0,0,0,0,0
,ngoài tài chính,0,0,0,0,0,0,0,0,0,0,0
,ngoại tiết,0,0,0,0,0,0,0,0,0,0,0
,ngoài tri giác,0,0,0,0,0,0,0,0,0,0,0
,ngoại tuyến,0,0,0,0,0,0,0,0,0,0,0
,ngoại vi,0,0,0,0,0,0,0,0,0,0,0
,ngoài vòng pháp luật,0,0,0,0,0,0,0,0,0,0,0
,ngôn ngữ,0,0,0,0,0,0,0,0,0,0,0
asleep,ngủ,0,0,0,0,0,0,0,0,0,0,0
cereal,ngũ cốc,0,0,0,0,0,0,0,0,0,0,0
,ngược,0,0,0,0,0,0,0,0,0,0,0
,ngược chiều,0,0,0,0,0,0,0,0,0,0,0
,ngược dòng,0,0,0,0,0,0,0,0,0,0,0
,nguội,0,0,0,0,0,0,0,0,0,0,0
,người,0,0,0,0,0,0,0,0,0,0,0
creole,người châu Âu,0,0,0,0,0,0,0,0,0,0,0
equestrian,người cỡi ngựa,0,0,0,0,0,0,0,0,0,0,0
elderly,người già,0,0,0,0,0,0,0,0,0,0,0
adult,người lớn,0,0,0,0,0,0,0,0,0,0,0
adventurer,người mạo hiểm,0,0,0,0,0,0,0,0,0,0,0
hind,người nhà quê,0,0,0,0,0,0,0,0,0,0,0
adventurer,người phiêu lưu,0,0,0,0,0,0,0,0,0,0,0
acquaintance,người quen,0,0,0,0,0,0,0,0,0,0,0
,nguyên,0,0,0,0,0,0,0,0,0,0,0
,nguyên gốc,0,0,0,0,0,0,0,0,0,0,0
causal,nguyên nhân,0,0,0,0,0,0,0,0,0,0,0
,nguyên thể,0,0,0,0,0,0,0,0,0,0,0
,nguyên văn,0,0,0,0,0,0,0,0,0,0,0
,nhà binh,0,0,0,0,0,0,0,0,0,0,0
conservatory,nhà kính,0,0,0,0,0,0,0,0,0,0,0
bidder,nhà thầu,0,0,0,0,0,0,0,0,0,0,0
,nhắc đi nhắc lại,0,0,0,0,0,0,0,0,0,0,0
virtuoso,nhạc sĩ đại tài,0,0,0,0,0,0,0,0,0,0,0
,nhám,0,0,0,0,0,0,0,0,0,0,0
,nhàm,0,0,0,0,0,0,0,0,0,0,0
,nhầm,0,0,0,0,0,0,0,0,0,0,0
,nhắm,0,0,0,0,0,0,0,0,0,0,0
,nhắm lại,0,0,0,0,0,0,0,0,0,0,0
,nhám sì,0,0,0,0,0,0,0,0,0,0,0
,nhẵn,0,0,0,0,0,0,0,0,0,0,0
,nhân ái,0,0,0,0,0,0,0,0,0,0,0
triplicate,nhân ba,0,0,0,0,0,0,0,0,0,0,0
,nhận biết,0,0,0,0,0,0,0,0,0,0,0
impersonal,nhân hóa,0,0,0,0,0,0,0,0,0,0,0
,nhận lương,0,0,0,0,0,0,0,0,0,0,0
,nhẩn nha,0,0,0,0,0,0,0,0,0,0,0
,nhăn nheo,0,0,0,0,0,0,0,0,0,0,0
adopt,nhận nuôi,0,0,0,0,0,0,0,0,0,0,0
,nhân tạo,0,0,0,0,0,0,0,0,0,0,0
admission,nhận vào,0,0,0,0,0,0,0,0,0,0,0
,nhặng,0,0,0,0,0,0,0,0,0,0,0
,nhánh,0,0,0,0,0,0,0,0,0,0,0
,nhanh trí,0,0,0,0,0,0,0,0,0,0,0
,nhập,0,0,0,0,0,0,0,0,0,0,0
,nhập khẩu,0,0,0,0,0,0,0,0,0,0,0
,nhập ngoại,0,0,0,0,0,0,0,0,0,0,0
,nhấp nhô,0,0,0,0,0,0,0,0,0,0,0
,nhất nguyên,0,0,0,0,0,0,0,0,0,0,0
,nhất thời,0,0,0,0,0,0,0,0,0,0,0
,nhạy,0,0,0,0,0,0,0,0,0,0,0
blink,nháy mắt,0,0,0,0,0,0,0,0,0,0,0
,nhẹ,0,0,0,0,0,0,0,0,0,0,0
,nhẹ bẫng,0,0,0,0,0,0,0,0,0,0,0
,nhẹ hơn không khí,0,0,0,0,0,0,0,0,0,0,0
,nhẹ nhõm,0,0,0,0,0,0,0,0,0,0,0
,nhẹ như không,0,0,0,0,0,0,0,0,0,0,0
,nhẹ tênh,0,0,0,0,0,0,0,0,0,0,0
,nhếch,0,0,0,0,0,0,0,0,0,0,0
atrium,nhĩ,0,0,0,0,0,0,0,0,0,0,0
,nhị bội,0,0,0,0,0,0,0,0,0,0,0
binary,nhị phân,0,0,0,0,0,0,0,0,0,0,0
binomial,nhị thức,0,0,0,0,0,0,0,0,0,0,0
,nhiễm khuẩn,0,0,0,0,0,0,0,0,0,0,0
,nhiễm trùng,0,0,0,0,0,0,0,0,0,0,0
,nhiệt đới,0,0,0,0,0,0,0,0,0,0,0
,nhiều biến cố,0,0,0,0,0,0,0,0,0,0,0
,nhiều biến động,0,0,0,0,0,0,0,0,0,0,0
,nhiều cành,0,0,0,0,0,0,0,0,0,0,0
,nhiều dạng,0,0,0,0,0,0,0,0,0,0,0
,nhiều dầu mỡ,0,0,0,0,0,0,0,0,0,0,0
windy,nhiều gió,0,0,0,0,0,0,0,0,0,0,0
,nhiều góc cạnh,0,0,0,0,0,0,0,0,0,0,0
,nhiều hơn,0,0,0,0,0,0,0,0,0,0,0
,nhiều hơn mức đủ,0,0,0,0,0,0,0,0,0,0,0
,nhiều làn,0,0,0,0,0,0,0,0,0,0,0
,nhiều lời,0,0,0,0,0,0,0,0,0,0,0
,nhiều mặt,0,0,0,0,0,0,0,0,0,0,0
,nhiều màu,0,0,0,0,0,0,0,0,0,0,0
,nhiều mục,0,0,0,0,0,0,0,0,0,0,0
,nhiều muối,0,0,0,0,0,0,0,0,0,0,0
,nhiều nghĩa,0,0,0,0,0,0,0,0,0,0,0
,nhiều ngôn ngữ,0,0,0,0,0,0,0,0,0,0,0
,nhiều nhánh,0,0,0,0,0,0,0,0,0,0,0
,nhiều nhựa,0,0,0,0,0,0,0,0,0,0,0
,nhiều nội dung,0,0,0,0,0,0,0,0,0,0,0
,nhiều nước,0,0,0,0,0,0,0,0,0,0,0
,nhiều phía,0,0,0,0,0,0,0,0,0,0,0
episodic,nhiều tập,0,0,0,0,0,0,0,0,0,0,0
,nhiều thứ tiếng,0,0,0,0,0,0,0,0,0,0,0
,nhiều từ,0,0,0,0,0,0,0,0,0,0,0
,nhiều tuổi,0,0,0,0,0,0,0,0,0,0,0
,nhiều xương,0,0,0,0,0,0,0,0,0,0,0
,nhìn lại dĩ vãng,0,0,0,0,0,0,0,0,0,0,0
,nhịp nhàng,0,0,0,0,0,0,0,0,0,0,0
,nhỏ,0,0,0,0,0,0,0,0,0,0,0
,nhỏ bé,0,0,0,0,0,0,0,0,0,0,0
,nhỏ dần,0,0,0,0,0,0,0,0,0,0,0
dripping,nhỏ giọt,0,0,0,0,0,0,0,0,0,0,0
,nho nhỏ,0,0,0,0,0,0,0,0,0,0,0
,nhơ nhốc,0,0,0,0,0,0,0,0,0,0,0
,nhô ra,0,0,0,0,0,0,0,0,0,0,0
,nhỏ tuổi hơn,0,0,0,0,0,0,0,0,0,0,0
,nhỏ xinh,0,0,0,0,0,0,0,0,0,0,0
,nhoà,0,0,0,0,0,0,0,0,0,0,0
,nhoáng,0,0,0,0,0,0,0,0,0,0,0
group,nhóm,0,0,0,0,0,0,0,0,0,0,0
,nhộn nhoạm,0,0,0,0,0,0,0,0,0,0,0
,nhớt,0,0,0,0,0,0,0,0,0,0,0
,nhợt,0,0,0,0,0,0,0,0,0,0,0
,như,0,0,0,0,0,0,0,0,0,0,0
,như anh em,0,0,0,0,0,0,0,0,0,0,0
,như bột,0,0,0,0,0,0,0,0,0,0,0
,như chị em,0,0,0,0,0,0,0,0,0,0,0
,như con ít,0,0,0,0,0,0,0,0,0,0,0
,như đàn bà,0,0,0,0,0,0,0,0,0,0,0
,nhừ đòn,0,0,0,0,0,0,0,0,0,0,0
,như gió,0,0,0,0,0,0,0,0,0,0,0
,như gỗ,0,0,0,0,0,0,0,0,0,0,0
,như hề,0,0,0,0,0,0,0,0,0,0,0
,như kịch,0,0,0,0,0,0,0,0,0,0,0
,như kim loại,0,0,0,0,0,0,0,0,0,0,0
,như mơ,0,0,0,0,0,0,0,0,0,0,0
,như một gia đình,0,0,0,0,0,0,0,0,0,0,0
,như một giấc mơ,0,0,0,0,0,0,0,0,0,0,0
,như nhau,0,0,0,0,0,0,0,0,0,0,0
,như sừng,0,0,0,0,0,0,0,0,0,0,0
,như thần,0,0,0,0,0,0,0,0,0,0,0
,như thánh,0,0,0,0,0,0,0,0,0,0,0
,như trút nước,0,0,0,0,0,0,0,0,0,0,0
asphalt,nhựa đường,0,0,0,0,0,0,0,0,0,0,0
,nhuận,0,0,0,0,0,0,0,0,0,0,0
,nhún nhẩy,0,0,0,0,0,0,0,0,0,0,0
,nhược trương,0,0,0,0,0,0,0,0,0,0,0
belief,niềm tin,0,0,0,0,0,0,0,0,0,0,0
,nín thinh,0,0,0,0,0,0,0,0,0,0,0
,no,0,0,0,0,0,0,0,0,0,0,0
bust,nổ,0,0,0,0,0,0,0,0,0,0,0
,no đòn,0,0,0,0,0,0,0,0,0,0,0
,nở nang,0,0,0,0,0,0,0,0,0,0,0
,nói,0,0,0,0,0,0,0,0,0,0,0
,nội,0,0,0,0,0,0,0,0,0,0,0
,nội bộ,0,0,0,0,0,0,0,0,0,0,0
,nội địa,0,0,0,0,0,0,0,0,0,0,0
,nội động từ,0,0,0,0,0,0,0,0,0,0,0
banter,nói đùa,0,0,0,0,0,0,0,0,0,0,0
boiler,Nồi hơi,0,0,0,0,0,0,0,0,0,0,0
,nối kết,0,0,0,0,0,0,0,0,0,0,0
,nơi nào đó,0,0,0,0,0,0,0,0,0,0,0
abode,nơi ở,0,0,0,0,0,0,0,0,0,0,0
,nói quanh,0,0,0,0,0,0,0,0,0,0,0
,nội sinh,0,0,0,0,0,0,0,0,0,0,0
,nội tại,0,0,0,0,0,0,0,0,0,0,0
,nội tâm,0,0,0,0,0,0,0,0,0,0,0
,nội thất,0,0,0,0,0,0,0,0,0,0,0
,nối tiếp,0,0,0,0,0,0,0,0,0,0,0
aforementioned,nói trên,0,0,0,0,0,0,0,0,0,0,0
boarding,nội trú,0,0,0,0,0,0,0,0,0,0,0
,nói về không gian,0,0,0,0,0,0,0,0,0,0,0
,nờm nợp,0,0,0,0,0,0,0,0,0,0,0
,nóng ấm,0,0,0,0,0,0,0,0,0,0,0
,nóng hổi,0,0,0,0,0,0,0,0,0,0,0
,nông nghiệp,0,0,0,0,0,0,0,0,0,0,0
blazing,nóng rực,0,0,0,0,0,0,0,0,0,0,0
,nông thôn,0,0,0,0,0,0,0,0,0,0,0
apply,nộp đơn,0,0,0,0,0,0,0,0,0,0,0
,nữ,0,0,0,0,0,0,0,0,0,0,0
,nữ nhi,0,0,0,0,0,0,0,0,0,0,0
,nữ tính,0,0,0,0,0,0,0,0,0,0,0
,nửa nghiêm trang nửa hài hước,0,0,0,0,0,0,0,0,0,0,0
,nung núc,0,0,0,0,0,0,0,0,0,0,0
,nước,0,0,0,0,0,0,0,0,0,0,0
,nước đôi,0,0,0,0,0,0,0,0,0,0,0
,nước đồng minh,0,0,0,0,0,0,0,0,0,0,0
,nước hai,0,0,0,0,0,0,0,0,0,0,0
trot,nước kiệu,0,0,0,0,0,0,0,0,0,0,0
ebb,nước ròng,0,0,0,0,0,0,0,0,0,0,0
,nuôi,0,0,0,0,0,0,0,0,0,0,0
,nườm nượp,0,0,0,0,0,0,0,0,0,0,0
bake,nướng,0,0,0,0,0,0,0,0,0,0,0
crouched,núp,0,0,0,0,0,0,0,0,0,0,0
,nứt nẻ,0,0,0,0,0,0,0,0,0,0,0
,ô,0,0,0,0,0,0,0,0,0,0,0
,ở bên,0,0,0,0,0,0,0,0,0,0,0
,ở bên dưới,0,0,0,0,0,0,0,0,0,0,0
,ở bên ngoài,0,0,0,0,0,0,0,0,0,0,0
,ở bên trái,0,0,0,0,0,0,0,0,0,0,0
,ở bên trong,0,0,0,0,0,0,0,0,0,0,0
,ô danh,0,0,0,0,0,0,0,0,0,0,0
,ở địa cực,0,0,0,0,0,0,0,0,0,0,0
,ở dưới,0,0,0,0,0,0,0,0,0,0,0
,ở dưới bề mặt,0,0,0,0,0,0,0,0,0,0,0
,ở dưới quyền,0,0,0,0,0,0,0,0,0,0,0
,ở giữa,0,0,0,0,0,0,0,0,0,0,0
,ở gốc,0,0,0,0,0,0,0,0,0,0,0
,ở hậu trường,0,0,0,0,0,0,0,0,0,0,0
,ở hướng đông,0,0,0,0,0,0,0,0,0,0,0
dorsal,ở lưng,0,0,0,0,0,0,0,0,0,0,0
,ở ngay dưới,0,0,0,0,0,0,0,0,0,0,0
,ở ngoài,0,0,0,0,0,0,0,0,0,0,0
,ở ngoài rìa,0,0,0,0,0,0,0,0,0,0,0
alveolar,ổ ong,0,0,0,0,0,0,0,0,0,0,0
,ở phần đuôi,0,0,0,0,0,0,0,0,0,0,0
,ở phía đông,0,0,0,0,0,0,0,0,0,0,0
,ở phía dưới,0,0,0,0,0,0,0,0,0,0,0
,ở phía đuôi,0,0,0,0,0,0,0,0,0,0,0
,ở phía ngoài,0,0,0,0,0,0,0,0,0,0,0
,ở phía sau,0,0,0,0,0,0,0,0,0,0,0
,ở phía tây,0,0,0,0,0,0,0,0,0,0,0
,ở phía Tây sông Mississippi,0,0,0,0,0,0,0,0,0,0,0
,ở phía trái,0,0,0,0,0,0,0,0,0,0,0
,ở phía trong,0,0,0,0,0,0,0,0,0,0,0
,ở phía trước,0,0,0,0,0,0,0,0,0,0,0
,ở rễ,0,0,0,0,0,0,0,0,0,0,0
,ở sát dưới,0,0,0,0,0,0,0,0,0,0,0
,ở sau,0,0,0,0,0,0,0,0,0,0,0
,ở sau sân khấu,0,0,0,0,0,0,0,0,0,0,0
,ở thời ấy,0,0,0,0,0,0,0,0,0,0,0
,ở thời đó,0,0,0,0,0,0,0,0,0,0,0
,ở trên,0,0,0,0,0,0,0,0,0,0,0
,ở trên cùng,0,0,0,0,0,0,0,0,0,0,0
,ô trọc,0,0,0,0,0,0,0,0,0,0,0
,ở trong,0,0,0,0,0,0,0,0,0,0,0
,ở trước,0,0,0,0,0,0,0,0,0,0,0
,ở xa,0,0,0,0,0,0,0,0,0,0,0
ambient,ở xung quanh,0,0,0,0,0,0,0,0,0,0,0
,oằn,0,0,0,0,0,0,0,0,0,0,0
,oặt,0,0,0,0,0,0,0,0,0,0,0
,oi,0,0,0,0,0,0,0,0,0,0,0
,ôi,0,0,0,0,0,0,0,0,0,0,0
,oi bức,0,0,0,0,0,0,0,0,0,0,0
,ổn,0,0,0,0,0,0,0,0,0,0,0
,ổn định,0,0,0,0,0,0,0,0,0,0,0
,ổn thoả,0,0,0,0,0,0,0,0,0,0,0
boss,ông chủ,0,0,0,0,0,0,0,0,0,0,0
binoculars,ống nhòm,0,0,0,0,0,0,0,0,0,0,0
,pha,0,0,0,0,0,0,0,0,0,0,0
,phá lên,0,0,0,0,0,0,0,0,0,0,0
,pha trộn,0,0,0,0,0,0,0,0,0,0,0
delineate,phác họa,0,0,0,0,0,0,0,0,0,0,0
,phách,0,0,0,0,0,0,0,0,0,0,0
,phai,0,0,0,0,0,0,0,0,0,0,0
,phải lối,0,0,0,0,0,0,0,0,0,0,0
faded,phai mờ,0,0,0,0,0,0,0,0,0,0,0
,phải thanh toán,0,0,0,0,0,0,0,0,0,0,0
,phải trả,0,0,0,0,0,0,0,0,0,0,0
,phàm tục,0,0,0,0,0,0,0,0,0,0,0
,phấn,0,0,0,0,0,0,0,0,0,0,0
,phản,0,0,0,0,0,0,0,0,0,0,0
,phân bố,0,0,0,0,0,0,0,0,0,0,0
,phân bổ,0,0,0,0,0,0,0,0,0,0,0
,phân cành,0,0,0,0,0,0,0,0,0,0,0
,phản chiếu,0,0,0,0,0,0,0,0,0,0,0
assignment,phân công,0,0,0,0,0,0,0,0,0,0,0
,phản diện,0,0,0,0,0,0,0,0,0,0,0
,phần đít,0,0,0,0,0,0,0,0,0,0,0
,phân đôi,0,0,0,0,0,0,0,0,0,0,0
,phân đốt,0,0,0,0,0,0,0,0,0,0,0
,phần đuôi,0,0,0,0,0,0,0,0,0,0,0
,phản khoa học,0,0,0,0,0,0,0,0,0,0,0
diverging,phân kỳ,0,0,0,0,0,0,0,0,0,0,0
,phân làn,0,0,0,0,0,0,0,0,0,0,0
,phân liệt,0,0,0,0,0,0,0,0,0,0,0
,phân nhánh,0,0,0,0,0,0,0,0,0,0,0
,phản quang,0,0,0,0,0,0,0,0,0,0,0
,phân rã,0,0,0,0,0,0,0,0,0,0,0
,phân rẽ,0,0,0,0,0,0,0,0,0,0,0
,phân tán,0,0,0,0,0,0,0,0,0,0,0
,phân tích tính,0,0,0,0,0,0,0,0,0,0,0
,phân tính,0,0,0,0,0,0,0,0,0,0,0
,phản trắc,0,0,0,0,0,0,0,0,0,0,0
,phản xạ,0,0,0,0,0,0,0,0,0,0,0
arbitrate,phân xử,0,0,0,0,0,0,0,0,0,0,0
,phẳng,0,0,0,0,0,0,0,0,0,0,0
,phẳng lặng,0,0,0,0,0,0,0,0,0,0,0
,phảng phất,0,0,0,0,0,0,0,0,0,0,0
,pháp lí,0,0,0,0,0,0,0,0,0,0,0
,pháp lý,0,0,0,0,0,0,0,0,0,0,0
,phấp phỏng,0,0,0,0,0,0,0,0,0,0,0
detectable,phát hiện,0,0,0,0,0,0,0,0,0,0,0
,phát triển ngầm,0,0,0,0,0,0,0,0,0,0,0
,phê,0,0,0,0,0,0,0,0,0,0,0
,phệ,0,0,0,0,0,0,0,0,0,0,0
